# timestamps [seconds],pts
38743.817028,2845985
38743.852964,2848340
38743.885029,2850442
38743.917033,2852539
38743.953064,2854900
38743.984992,2856993
38744.017334,2859112
38744.053012,2861451
38744.085036,2863549
38744.120982,2865905
38744.153011,2868004
38744.184996,2870100
38744.221092,2872466
38744.253051,2874560
38744.285007,2876654
38744.321009,2879014
38744.353064,2881114
38744.389082,2883475
38744.421054,2885570
38744.453062,2887668
38744.489050,2890026
38744.521035,2892122
38744.557088,2894485
38744.589090,2896582
38744.621022,2898675
38744.657030,2901035
38744.689118,2903138
38744.721034,2905229
38744.757089,2907592
38744.789063,2909688
38744.825066,2912047
38744.857050,2914143
38744.889067,2916241
38744.925067,2918601
38744.957003,2920694
38744.989121,2922798
38745.025044,2925153
38745.057055,2927250
38745.093118,2929614
38745.125075,2931708
38745.156991,2933800
38745.193054,2936163
38745.225025,2938258
38745.257036,2940356
38745.293057,2942717
38745.324988,2944809
38745.361018,2947171
38745.393032,2949269
38745.425029,2951366
38745.461091,2953729
38745.492472,2955786
38745.524592,2957891
38745.560541,2960246
38745.592545,2962344
38745.628611,2964707
38745.660584,2966803
38745.692549,2968898
38745.728590,2971260
38745.760549,2973354
38745.792548,2975451
38745.828574,2977812
38745.860569,2979909
38745.896540,2982266
38745.928749,2984377
38745.960525,2986459
38745.996532,2988819
38746.028580,2990919
38746.060527,2993013
38746.096510,2995371
38746.128552,2997471
38746.164492,2999826
38746.196543,3001927
38746.228518,3004022
38746.264535,3006383
38746.296516,3008479
38746.332518,3010838
38746.364544,3012937
38746.396519,3015032
38746.432635,3017399
38746.464615,3019495
38746.496535,3021587
38746.532500,3023944
38746.564543,3026044
38746.600506,3028401
38746.632518,3030498
38746.664556,3032598
38746.700553,3034957
38746.732544,3037054
38746.764508,3039148
38746.800538,3041510
38746.832544,3043607
38746.868567,3045968
38746.900554,3048064
38746.932574,3050163
38746.968603,3052524
38747.000623,3054622
38747.032503,3056711
38747.068571,3059075
38747.100547,3061171
38747.136504,3063527
38747.168670,3065635
38747.200531,3067723
38747.236571,3070085
38747.268597,3072184
38747.300538,3074277
38747.336549,3076637
38747.368603,3078738
38747.404533,3081092
38747.436583,3083193
38747.468566,3085289
38747.504486,3087643
38747.536521,3089742
38747.568611,3091845
38747.604523,3094199
38747.636528,3096296
38747.672510,3098654
38747.704565,3100755
38747.736477,3102846
38747.772574,3105212
38747.804519,3107306
38747.840527,3109665
38747.872476,3111759
38747.904543,3113861
38747.940577,3116222
38747.972473,3118312
38748.004742,3120427
38748.040607,3122778
38748.072552,3124871
38748.108576,3127232
38748.140559,3129328
38748.172520,3131422
38748.208680,3133792
38748.240518,3135879
38748.272511,3137975
38748.308583,3140339
38748.340523,3142433
38748.376548,3144793
38748.408617,3146895
38748.440525,3148986
38748.476512,3151345
38748.508502,3153441
38748.540544,3155541
38748.576509,3157898
38748.608545,3159997
38748.644541,3162356
38748.676484,3164450
38748.708698,3166561
38748.744551,3168911
38748.776553,3171008
38748.808535,3173104
38748.844515,3175462
38748.876568,3177562
38748.912498,3179917
38748.944473,3182012
38748.976486,3184110
38749.012498,3186470
38749.044529,3188570
38749.076481,3190664
38749.112591,3193030
38749.144547,3195124
38749.180534,3197483
38749.212515,3199579
38749.244552,3201678
38749.280540,3204037
38749.312511,3206132
38749.344577,3208233
38749.380562,3210592
38749.412553,3212688
38749.448503,3215044
38749.480579,3217146
38749.512540,3219241
38749.548505,3221598
38749.580539,3223697
38749.616531,3226056
38749.648615,3228158
38749.680565,3230252
38749.716553,3232611
38749.748648,3234714
38749.780549,3236805
38749.816548,3239164
38749.848636,3241267
38749.884527,3243619
38749.916545,3245717
38749.948575,3247816
38749.984523,3250172
38750.016533,3252270
38750.048575,3254370
38750.084549,3256727
38750.116550,3258824
38750.152518,3261182
38750.184555,3263281
38750.216532,3265377
38750.252513,3267735
38750.284522,3269833
38750.316530,3271930
38750.352529,3274289
38750.384555,3276388
38750.420557,3278748
38750.452528,3280843
38750.484553,3282942
38750.520538,3285300
38750.552543,3287397
38750.584534,3289494
38750.620530,3291853
38750.652532,3293950
38750.688653,3296317
38750.720599,3298411
38750.752559,3300505
38750.788785,3302879
38750.820496,3304958
38750.852578,3307060
